epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,53.9011,1.03032,0.94481,1.10004,0.83527,0.93814,0.95991,0.67583,0.96965,0.82782,1.04421,0.000742625,0.000742625,0.000742625
43,54.9302,1.04712,1.02026,1.13437,0.83162,0.95149,0.95901,0.67942,0.91405,0.8253,1.02965,0.00073025,0.00073025,0.00073025
44,55.9493,1.00335,0.95218,1.10747,0.84209,0.94744,0.95979,0.69211,0.86066,0.82947,0.99675,0.000717875,0.000717875,0.000717875
45,56.9909,1.03953,0.95314,1.13222,0.83244,0.9518,0.96284,0.70311,0.87154,0.82641,0.99643,0.0007055,0.0007055,0.0007055
46,58.3074,1.0604,0.95085,1.13426,0.87842,0.95114,0.96141,0.66351,1.05668,0.79477,1.04068,0.000693125,0.000693125,0.000693125
47,59.3554,1.07534,0.94261,1.13304,0.9073,0.94868,0.9682,0.6313,1.27206,0.82338,1.11287,0.00068075,0.00068075,0.00068075
48,60.3714,0.99035,0.89517,1.10291,0.9031,0.96691,0.96833,0.64874,1.2714,0.81931,1.11884,0.000668375,0.000668375,0.000668375
49,61.3852,1.07953,0.96195,1.10701,0.90912,0.95161,0.96927,0.68322,1.05434,0.79398,1.03638,0.000656,0.000656,0.000656
50,62.4065,0.96827,0.9001,1.08493,0.87526,0.94976,0.96085,0.68667,0.92749,0.76495,0.99513,0.000643625,0.000643625,0.000643625
51,63.4232,0.93011,0.89159,1.08234,0.90234,0.96655,0.96414,0.68651,0.84899,0.74596,0.97137,0.00063125,0.00063125,0.00063125
52,64.4382,0.94119,0.91187,1.09634,0.90208,0.97581,0.97213,0.66325,0.92391,0.75697,0.99705,0.000618875,0.000618875,0.000618875
53,65.4706,0.99693,0.91112,1.10066,0.91342,0.96499,0.97447,0.67502,0.96263,0.74741,1.00484,0.0006065,0.0006065,0.0006065
54,66.4924,1.03589,0.90764,1.08642,0.9061,0.94823,0.96431,0.69949,0.8703,0.7312,0.98445,0.000594125,0.000594125,0.000594125
